"Label","prompt","src","response","text","remove"
"White",NA,"json-against-humanity/src/Base","The chronic.","The chronic.",FALSE
"Black","Studies show that lab rats navigate mazes 50% faster after being exposed to _.","json-against-humanity/src/Base",NA,"Studies show that lab rats navigate mazes 50% faster after being exposed to _.",FALSE
"White",NA,"json-against-humanity/src/Base","Making a pouty face.","Making a pouty face.",FALSE
"White",NA,"json-against-humanity/src/Base","My inner demons.","My inner demons.",FALSE
"White",NA,"json-against-humanity/src/Base","Ronald Reagan.","Ronald Reagan.",FALSE
"Black","What is Batman's guilty pleasure?","json-against-humanity/src/Base",NA,"What is Batman's guilty pleasure?",FALSE
"White",NA,"json-against-humanity/src/Base","A tiny horse.","A tiny horse.",FALSE
"Black","_. It's a trap!","json-against-humanity/src/Base",NA,"_. It's a trap!",FALSE
"White",NA,"json-against-humanity/src/Base","Laying an egg.","Laying an egg.",FALSE
"White",NA,"json-against-humanity/src/Base","Lady Gaga.","Lady Gaga.",FALSE
"White",NA,"json-against-humanity/src/Base","Bill Nye the Science Guy.","Bill Nye the Science Guy.",FALSE
"White",NA,"json-against-humanity/src/Base","Doing the right thing.","Doing the right thing.",FALSE
"White",NA,"json-against-humanity/src/Base","A gassy antelope.","A gassy antelope.",FALSE
"White",NA,"json-against-humanity/src/Base","A mopey zoo lion.","A mopey zoo lion.",FALSE
"White",NA,"json-against-humanity/src/Base","Aaron Burr.","Aaron Burr.",FALSE
"White",NA,"json-against-humanity/src/Base","A subscription to Men's Fitness.","A subscription to Men's Fitness.",FALSE
"White",NA,"json-against-humanity/src/Base","Switching to Geico®.","Switching to Geico®.",FALSE
"White",NA,"json-against-humanity/src/Base","Altar boys.","Altar boys.",FALSE
"White",NA,"json-against-humanity/src/Base","Silence.","Silence.",FALSE
"White",NA,"json-against-humanity/src/Base","A disappointing birthday party.","A disappointing birthday party.",FALSE
"Black","_: kid-tested, mother-approved.","json-against-humanity/src/Base",NA,"_: kid-tested, mother-approved.",FALSE
"White",NA,"json-against-humanity/src/Base","BATMAN!!!","BATMAN!!!",FALSE
"White",NA,"json-against-humanity/src/Base","The folly of man.","The folly of man.",FALSE
"White",NA,"json-against-humanity/src/Base","Her Majesty, Queen Elizabeth II.","Her Majesty, Queen Elizabeth II.",FALSE
"White",NA,"json-against-humanity/src/Base","John Wilkes Booth.","John Wilkes Booth.",FALSE
"White",NA,"json-against-humanity/src/Base","Bling.","Bling.",FALSE
"White",NA,"json-against-humanity/src/Base","The Boy Scouts of America.","The Boy Scouts of America.",FALSE
"White",NA,"json-against-humanity/src/Base","The Make-A-Wish® Foundation.","The Make-A-Wish® Foundation.",FALSE
"White",NA,"json-against-humanity/src/Base","Soup that is too hot.","Soup that is too hot.",FALSE
"White",NA,"json-against-humanity/src/Base","Geese.","Geese.",FALSE
"White",NA,"json-against-humanity/src/Base","Justin Bieber.","Justin Bieber.",FALSE
"White",NA,"json-against-humanity/src/Base","The heart of a child.","The heart of a child.",FALSE
"White",NA,"json-against-humanity/src/Base","A murder most foul.","A murder most foul.",FALSE
"White",NA,"json-against-humanity/src/Base","Self-loathing.","Self-loathing.",FALSE
"White",NA,"json-against-humanity/src/Base","The invisible hand.","The invisible hand.",FALSE
"Black","What's that smell?","json-against-humanity/src/Base",NA,"What's that smell?",FALSE
"White",NA,"json-against-humanity/src/Base","Christopher Walken.","Christopher Walken.",FALSE
"Black","What's the most emo?","json-against-humanity/src/Base",NA,"What's the most emo?",FALSE
"White",NA,"json-against-humanity/src/Base","Destroying the evidence.","Destroying the evidence.",FALSE
"White",NA,"json-against-humanity/src/Base","Flightless birds.","Flightless birds.",FALSE
"White",NA,"json-against-humanity/src/Base","Exactly what you'd expect.","Exactly what you'd expect.",FALSE
"White",NA,"json-against-humanity/src/Base","Lockjaw.","Lockjaw.",FALSE
"Black","Instead of coal, Santa now gives the bad children _.","json-against-humanity/src/Base",NA,"Instead of coal, Santa now gives the bad children _.",FALSE
"White",NA,"json-against-humanity/src/Base","Scrubbing under the folds.","Scrubbing under the folds.",FALSE
"White",NA,"json-against-humanity/src/Base","Sweet, sweet vengeance.","Sweet, sweet vengeance.",FALSE
"White",NA,"json-against-humanity/src/Base","Horrifying laser hair removal accidents.","Horrifying laser hair removal accidents.",FALSE
"White",NA,"json-against-humanity/src/Base","Friction.","Friction.",FALSE
"White",NA,"json-against-humanity/src/Base","A bag of magic beans.","A bag of magic beans.",FALSE
"Black","What did I bring back from Mexico?","json-against-humanity/src/Base",NA,"What did I bring back from Mexico?",FALSE
"White",NA,"json-against-humanity/src/Base","The Hamburglar.","The Hamburglar.",FALSE
"Black","Lifetime� presents _, the story of _.","json-against-humanity/src/Base",NA,"Lifetime� presents _, the story of _.",FALSE
"White",NA,"json-against-humanity/src/Base","Amputees.","Amputees.",FALSE
"White",NA,"json-against-humanity/src/Base","White privilege.","White privilege.",FALSE
"Black","Next from J.K. Rowling: Harry Potter and the Chamber of _.","json-against-humanity/src/Base",NA,"Next from J.K. Rowling: Harry Potter and the Chamber of _.",FALSE
"Black","What are my parents hiding from me?","json-against-humanity/src/Base",NA,"What are my parents hiding from me?",FALSE
"White",NA,"json-against-humanity/src/Base","Grave robbing.","Grave robbing.",FALSE
"White",NA,"json-against-humanity/src/Base","All-you-can-eat shrimp for $4.99.","All-you-can-eat shrimp for $4.99.",FALSE
"White",NA,"json-against-humanity/src/Base","An Oedipus complex.","An Oedipus complex.",FALSE
"Black","That's right, I killed _. How, you ask? _.","json-against-humanity/src/Base",NA,"That's right, I killed _. How, you ask? _.",FALSE
"White",NA,"json-against-humanity/src/Base","The Tempur-Pedic® Swedish Sleep System™.","The Tempur-Pedic® Swedish Sleep System™.",FALSE
"White",NA,"json-against-humanity/src/Base","Domino's™ Oreo™ Dessert Pizza.","Domino's™ Oreo™ Dessert Pizza.",FALSE
"White",NA,"json-against-humanity/src/Base","A hot mess.","A hot mess.",FALSE
"White",NA,"json-against-humanity/src/Base","Chainsaws for hands.","Chainsaws for hands.",FALSE
"White",NA,"json-against-humanity/src/Base","The glass ceiling.","The glass ceiling.",FALSE
"White",NA,"json-against-humanity/src/Base","A lifetime of sadness.","A lifetime of sadness.",FALSE
"White",NA,"json-against-humanity/src/Base","A death ray.","A death ray.",FALSE
"White",NA,"json-against-humanity/src/Base","The Great Depression.","The Great Depression.",FALSE
"White",NA,"json-against-humanity/src/Base","Teaching a robot to love.","Teaching a robot to love.",FALSE
"White",NA,"json-against-humanity/src/Base","Getting really high.","Getting really high.",FALSE
"Black","In L.A. County Jail, word is you can trade 200 cigarettes for _.","json-against-humanity/src/Base",NA,"In L.A. County Jail, word is you can trade 200 cigarettes for _.",FALSE
"White",NA,"json-against-humanity/src/Base","Raptor attacks.","Raptor attacks.",FALSE
"White",NA,"json-against-humanity/src/Base","An ugly face.","An ugly face.",FALSE
"White",NA,"json-against-humanity/src/Base","Shaquille O'Neal's acting career.","Shaquille O'Neal's acting career.",FALSE
"White",NA,"json-against-humanity/src/Base","Explosions.","Explosions.",FALSE
"White",NA,"json-against-humanity/src/Base","Being on fire.","Being on fire.",FALSE
"White",NA,"json-against-humanity/src/Base","A brain tumor.","A brain tumor.",FALSE
"White",NA,"json-against-humanity/src/Base","The taint; the grundle; the fleshy fun-bridge.","The taint; the grundle; the fleshy fun-bridge.",FALSE
"White",NA,"json-against-humanity/src/Base","Oompa-Loompas.","Oompa-Loompas.",FALSE
"White",NA,"json-against-humanity/src/Base","Natural selection.","Natural selection.",FALSE
"White",NA,"json-against-humanity/src/Base","Men.","Men.",FALSE
"White",NA,"json-against-humanity/src/Base","GoGurt®.","GoGurt®.",FALSE
"White",NA,"json-against-humanity/src/Base","Five-Dollar Footlongs™.","Five-Dollar Footlongs™.",FALSE
"White",NA,"json-against-humanity/src/Base","The Care Bear Stare.","The Care Bear Stare.",FALSE
"White",NA,"json-against-humanity/src/Base","Attitude.","Attitude.",FALSE
"White",NA,"json-against-humanity/src/Base","Pulling out.","Pulling out.",FALSE
"White",NA,"json-against-humanity/src/Base","Morgan Freeman's voice.","Morgan Freeman's voice.",FALSE
"White",NA,"json-against-humanity/src/Base","Gandhi.","Gandhi.",FALSE
"White",NA,"json-against-humanity/src/Base","The inevitable heat death of the universe.","The inevitable heat death of the universe.",FALSE
"White",NA,"json-against-humanity/src/Base","The Pope.","The Pope.",FALSE
"White",NA,"json-against-humanity/src/Base","Autocannibalism.","Autocannibalism.",FALSE
"Black","Make a haiku.","json-against-humanity/src/Base",NA,"Make a haiku.",FALSE
"White",NA,"json-against-humanity/src/Base","The violation of our most basic human rights.","The violation of our most basic human rights.",FALSE
"White",NA,"json-against-humanity/src/Base","Eating the last known bison.","Eating the last known bison.",FALSE
"Black","During his childhood, Salvador Dal� produced hundreds of paintings of _.","json-against-humanity/src/Base",NA,"During his childhood, Salvador Dal� produced hundreds of paintings of _.",FALSE
"White",NA,"json-against-humanity/src/Base","Heartwarming orphans.","Heartwarming orphans.",FALSE
"White",NA,"json-against-humanity/src/Base","A really cool hat.","A really cool hat.",FALSE
"White",NA,"json-against-humanity/src/Base","Judge Judy.","Judge Judy.",FALSE
"White",NA,"json-against-humanity/src/Base","Count Chocula.","Count Chocula.",FALSE
"Black","How am I maintaining my relationship status?","json-against-humanity/src/Base",NA,"How am I maintaining my relationship status?",FALSE
"White",NA,"json-against-humanity/src/Base","Prancing.","Prancing.",FALSE
"Black","War!  What is it good for?","json-against-humanity/src/Base",NA,"War!  What is it good for?",FALSE
"White",NA,"json-against-humanity/src/Base","Passive-agression.","Passive-agression.",FALSE
"White",NA,"json-against-humanity/src/Base","The Big Bang.","The Big Bang.",FALSE
"White",NA,"json-against-humanity/src/Base","Stranger danger.","Stranger danger.",FALSE
"White",NA,"json-against-humanity/src/Base","The Übermensch.","The Übermensch.",FALSE
"White",NA,"json-against-humanity/src/Base","The Rapture.","The Rapture.",FALSE
"White",NA,"json-against-humanity/src/Base","A live studio audience.","A live studio audience.",FALSE
"White",NA,"json-against-humanity/src/Base","A cooler full of organs.","A cooler full of organs.",FALSE
"White",NA,"json-against-humanity/src/Base","Scalping.","Scalping.",FALSE
"Black","_ + _ = _.","json-against-humanity/src/Base",NA,"_ + _ = _.",FALSE
"White",NA,"json-against-humanity/src/Base","Poor life choices.","Poor life choices.",FALSE
"White",NA,"json-against-humanity/src/Base","Horse meat.","Horse meat.",FALSE
"White",NA,"json-against-humanity/src/Base","Scientology.","Scientology.",FALSE
"White",NA,"json-against-humanity/src/Base","Catapults.","Catapults.",FALSE
"White",NA,"json-against-humanity/src/Base","An uppercut.","An uppercut.",FALSE
"Black","But before I kill you, Mr. Bond, I must show you _.","json-against-humanity/src/Base",NA,"But before I kill you, Mr. Bond, I must show you _.",FALSE
"White",NA,"json-against-humanity/src/Base","Flesh-eating bacteria.","Flesh-eating bacteria.",FALSE
"White",NA,"json-against-humanity/src/Base","New Age music.","New Age music.",FALSE
"Black","Why can't I sleep at night?","json-against-humanity/src/Base",NA,"Why can't I sleep at night?",FALSE
"White",NA,"json-against-humanity/src/Base","My relationship status.","My relationship status.",FALSE
"Black","When I was tripping on acid, _ turned into _.","json-against-humanity/src/Base",NA,"When I was tripping on acid, _ turned into _.",FALSE
"White",NA,"json-against-humanity/src/Base","Cuddling.","Cuddling.",FALSE
"White",NA,"json-against-humanity/src/Base","Centaurs.","Centaurs.",FALSE
"White",NA,"json-against-humanity/src/Base","Object permanence.","Object permanence.",FALSE
"White",NA,"json-against-humanity/src/Base","A sea of troubles.","A sea of troubles.",FALSE
"White",NA,"json-against-humanity/src/Base","Leaving an awkward voicemail.","Leaving an awkward voicemail.",FALSE
"White",NA,"json-against-humanity/src/Base","Genghis Khan.","Genghis Khan.",FALSE
"Black","I'm sorry, Professor, but I couldn't complete my homework because of _.","json-against-humanity/src/Base",NA,"I'm sorry, Professor, but I couldn't complete my homework because of _.",FALSE
"Black","BILLY MAYS HERE FOR _.","json-against-humanity/src/Base",NA,"BILLY MAYS HERE FOR _.",FALSE
"White",NA,"json-against-humanity/src/Base","Cybernetic enhancements.","Cybernetic enhancements.",FALSE
"Black","What am I giving up for Lent?","json-against-humanity/src/Base",NA,"What am I giving up for Lent?",FALSE
"White",NA,"json-against-humanity/src/Base","Nickelback.","Nickelback.",FALSE
"White",NA,"json-against-humanity/src/Base","Adderall™.","Adderall™.",FALSE
"White",NA,"json-against-humanity/src/Base","Pabst Blue Ribbon.","Pabst Blue Ribbon.",FALSE
"White",NA,"json-against-humanity/src/Base","Overcompensation.","Overcompensation.",FALSE
"White",NA,"json-against-humanity/src/Base","Sharing needles.","Sharing needles.",FALSE
"White",NA,"json-against-humanity/src/Base","The token minority.","The token minority.",FALSE
"White",NA,"json-against-humanity/src/Base","Fear itself.","Fear itself.",FALSE
"White",NA,"json-against-humanity/src/Base","A thermonuclear detonation.","A thermonuclear detonation.",FALSE
"White",NA,"json-against-humanity/src/Base","Nicolas Cage.","Nicolas Cage.",FALSE
"White",NA,"json-against-humanity/src/Base","The South.","The South.",FALSE
"White",NA,"json-against-humanity/src/Base","Old-people smell.","Old-people smell.",FALSE
"White",NA,"json-against-humanity/src/Base","Nazis.","Nazis.",FALSE
"White",NA,"json-against-humanity/src/Base","Child beauty pageants.","Child beauty pageants.",FALSE
"White",NA,"json-against-humanity/src/Base","A salty surprise.","A salty surprise.",FALSE
"Black","_. High five, bro.","json-against-humanity/src/Base",NA,"_. High five, bro.",FALSE
"White",NA,"json-against-humanity/src/Base","Racially-biased SAT questions.","Racially-biased SAT questions.",FALSE
"White",NA,"json-against-humanity/src/Base","A good sniff.","A good sniff.",FALSE
"Black","In 1,000 years, when paper money is a distant memory, how will we pay for goods and services?","json-against-humanity/src/Base",NA,"In 1,000 years, when paper money is a distant memory, how will we pay for goods and services?",FALSE
"Black","_. That's how I want to die.","json-against-humanity/src/Base",NA,"_. That's how I want to die.",FALSE
"Black","What's the next superhero/sidekick duo?","json-against-humanity/src/Base",NA,"What's the next superhero/sidekick duo?",FALSE
"White",NA,"json-against-humanity/src/Base","The Devil himself.","The Devil himself.",FALSE
"White",NA,"json-against-humanity/src/Base","A foul mouth.","A foul mouth.",FALSE
"Black","TSA guidelines now prohibit _ on airplanes.","json-against-humanity/src/Base",NA,"TSA guidelines now prohibit _ on airplanes.",FALSE
"White",NA,"json-against-humanity/src/Base","Puppies!","Puppies!",FALSE
"White",NA,"json-against-humanity/src/Base","A zesty breakfast burrito.","A zesty breakfast burrito.",FALSE
"White",NA,"json-against-humanity/src/Base","Hulk Hogan.","Hulk Hogan.",FALSE
"White",NA,"json-against-humanity/src/Base","Free samples.","Free samples.",FALSE
"Black","I got 99 problems but _ ain't one.","json-against-humanity/src/Base",NA,"I got 99 problems but _ ain't one.",FALSE
"White",NA,"json-against-humanity/src/Base","The American Dream.","The American Dream.",FALSE
"White",NA,"json-against-humanity/src/Base","Pretending to care.","Pretending to care.",FALSE
"Black","What gets better with age?","json-against-humanity/src/Base",NA,"What gets better with age?",FALSE
"White",NA,"json-against-humanity/src/Base","Fancy Feast®.","Fancy Feast®.",FALSE
"White",NA,"json-against-humanity/src/Base","Tom Cruise.","Tom Cruise.",FALSE
"Black","Here is the church Here is the steeple Open the doors And there is _.","json-against-humanity/src/Base",NA,"Here is the church Here is the steeple Open the doors And there is _.",FALSE
"White",NA,"json-against-humanity/src/Base","The Kool-Aid Man.","The Kool-Aid Man.",FALSE
"White",NA,"json-against-humanity/src/Base","William Shatner.","William Shatner.",FALSE
"White",NA,"json-against-humanity/src/Base","Funky fresh rhymes.","Funky fresh rhymes.",FALSE
"Black","What's that sound?","json-against-humanity/src/Base",NA,"What's that sound?",FALSE
"White",NA,"json-against-humanity/src/Base","Friendly fire.","Friendly fire.",FALSE
"White",NA,"json-against-humanity/src/Base","The Force.","The Force.",FALSE
"White",NA,"json-against-humanity/src/Base","Dry heaving.","Dry heaving.",FALSE
"White",NA,"json-against-humanity/src/Base","Natalie Portman.","Natalie Portman.",FALSE
"White",NA,"json-against-humanity/src/Base","Getting drunk on mouthwash.","Getting drunk on mouthwash.",FALSE
"Black","Dear Abby,  I'm having some trouble with _ and would like your advice.","json-against-humanity/src/Base",NA,"Dear Abby,  I'm having some trouble with _ and would like your advice.",FALSE
"Black","What's Teach for America using to inspire inner city students to succeed?","json-against-humanity/src/Base",NA,"What's Teach for America using to inspire inner city students to succeed?",FALSE
"White",NA,"json-against-humanity/src/Base","An oversized lollipop.","An oversized lollipop.",FALSE
"White",NA,"json-against-humanity/src/Base","The Chinese gymnastics team.","The Chinese gymnastics team.",FALSE
"White",NA,"json-against-humanity/src/Base","Grandma.","Grandma.",FALSE
"Black","Why do I hurt all over?","json-against-humanity/src/Base",NA,"Why do I hurt all over?",FALSE
"White",NA,"json-against-humanity/src/Base","Shiny objects.","Shiny objects.",FALSE
"White",NA,"json-against-humanity/src/Base","Classist undertones.","Classist undertones.",FALSE
"White",NA,"json-against-humanity/src/Base","Emotions.","Emotions.",FALSE
"White",NA,"json-against-humanity/src/Base","Vikings.","Vikings.",FALSE
"Black","For my next trick, I will pull _ out of _.","json-against-humanity/src/Base",NA,"For my next trick, I will pull _ out of _.",FALSE
"White",NA,"json-against-humanity/src/Base","A falcon with a cap on its head.","A falcon with a cap on its head.",FALSE
"Black","What's the new fad diet?","json-against-humanity/src/Base",NA,"What's the new fad diet?",FALSE
"White",NA,"json-against-humanity/src/Base","Famine.","Famine.",FALSE
"White",NA,"json-against-humanity/src/Base","Stalin.","Stalin.",FALSE
"White",NA,"json-against-humanity/src/Base","Crippling debt.","Crippling debt.",FALSE
"White",NA,"json-against-humanity/src/Base","A mime having a stroke.","A mime having a stroke.",FALSE
"White",NA,"json-against-humanity/src/Base","A bucket of fish heads.","A bucket of fish heads.",FALSE
"White",NA,"json-against-humanity/src/Base","Dropping a chandelier on your enemies and riding the rope up.","Dropping a chandelier on your enemies and riding the rope up.",FALSE
"White",NA,"json-against-humanity/src/Base","A time travel paradox.","A time travel paradox.",FALSE
"White",NA,"json-against-humanity/src/Base","Sunshine and rainbows.","Sunshine and rainbows.",FALSE
"White",NA,"json-against-humanity/src/Base","Keanu Reeves.","Keanu Reeves.",FALSE
"Black","When I am the President of the United States, I will create the Department of _.","json-against-humanity/src/Base",NA,"When I am the President of the United States, I will create the Department of _.",FALSE
"White",NA,"json-against-humanity/src/Base","Britney Spears at 55.","Britney Spears at 55.",FALSE
"White",NA,"json-against-humanity/src/Base","Actually taking candy from a baby.","Actually taking candy from a baby.",FALSE
"Black","Step 1: _. Step 2: _. Step 3: Profit.","json-against-humanity/src/Base",NA,"Step 1: _. Step 2: _. Step 3: Profit.",FALSE
"White",NA,"json-against-humanity/src/Base","Sean Connery.","Sean Connery.",FALSE
"Black","_: Good to the last drop.","json-against-humanity/src/Base",NA,"_: Good to the last drop.",FALSE
"Black","What's the next Happy Meal� toy?","json-against-humanity/src/Base",NA,"What's the next Happy Meal� toy?",FALSE
"Black","What would grandma find disturbing, yet oddly charming?","json-against-humanity/src/Base",NA,"What would grandma find disturbing, yet oddly charming?",FALSE
"White",NA,"json-against-humanity/src/Base","A spastic nerd.","A spastic nerd.",FALSE
"White",NA,"json-against-humanity/src/Base","Spontaneous human combustion.","Spontaneous human combustion.",FALSE
"White",NA,"json-against-humanity/src/Base","Swooping.","Swooping.",FALSE
"Black","_ is a slippery slope that leads to _.","json-against-humanity/src/Base",NA,"_ is a slippery slope that leads to _.",FALSE
"White",NA,"json-against-humanity/src/Base","The World of Warcraft.","The World of Warcraft.",FALSE
"Black","In a world ravaged by _, our only solace is _.","json-against-humanity/src/Base",NA,"In a world ravaged by _, our only solace is _.",FALSE
"White",NA,"json-against-humanity/src/Base","Public ridicule.","Public ridicule.",FALSE
"Black","Coming to Broadway this season, _: The Musical.","json-against-humanity/src/Base",NA,"Coming to Broadway this season, _: The Musical.",FALSE
"White",NA,"json-against-humanity/src/Base","A monkey smoking a cigar.","A monkey smoking a cigar.",FALSE
"White",NA,"json-against-humanity/src/Base","Being rich.","Being rich.",FALSE
"White",NA,"json-against-humanity/src/Base","Hope.","Hope.",FALSE
"White",NA,"json-against-humanity/src/Base","Cards Against Humanity.","Cards Against Humanity.",FALSE
"White",NA,"json-against-humanity/src/Base","Finger painting.","Finger painting.",FALSE
"Black","MTV's new reality show features eight washed-up celebrities living with _.","json-against-humanity/src/Base",NA,"MTV's new reality show features eight washed-up celebrities living with _.",FALSE
"White",NA,"json-against-humanity/src/Base","Children on leashes.","Children on leashes.",FALSE
"White",NA,"json-against-humanity/src/Base","A micropig wearing a tiny raincoat and booties.","A micropig wearing a tiny raincoat and booties.",FALSE
"White",NA,"json-against-humanity/src/Base","Tangled Slinkys.","Tangled Slinkys.",FALSE
"White",NA,"json-against-humanity/src/Base","The Underground Railroad.","The Underground Railroad.",FALSE
"White",NA,"json-against-humanity/src/Base","Me time.","Me time.",FALSE
"Black","Next on ESPN2, the World Series of _.","json-against-humanity/src/Base",NA,"Next on ESPN2, the World Series of _.",FALSE
"White",NA,"json-against-humanity/src/Base","The light of a billion suns.","The light of a billion suns.",FALSE
"Black","In M. Night Shyamalan's new movie, Bruce Willis discovers that _ had really been _ all along.","json-against-humanity/src/Base",NA,"In M. Night Shyamalan's new movie, Bruce Willis discovers that _ had really been _ all along.",FALSE
"White",NA,"json-against-humanity/src/Base","Tickling Sean Hannity, even after he tells you to stop.","Tickling Sean Hannity, even after he tells you to stop.",FALSE
"White",NA,"json-against-humanity/src/Base","Vigorous jazz hands.","Vigorous jazz hands.",FALSE
"White",NA,"json-against-humanity/src/Base","Figgy pudding.","Figgy pudding.",FALSE
"Black","After the earthquake, Sean Penn brought _ to the people of Haiti.","json-against-humanity/src/Base",NA,"After the earthquake, Sean Penn brought _ to the people of Haiti.",FALSE
"White",NA,"json-against-humanity/src/Base","The true meaning of Christmas.","The true meaning of Christmas.",FALSE
"White",NA,"json-against-humanity/src/Base","Crystal meth.","Crystal meth.",FALSE
"White",NA,"json-against-humanity/src/Base","World peace.","World peace.",FALSE
"White",NA,"json-against-humanity/src/Base","Inappropriate yodeling.","Inappropriate yodeling.",FALSE
"White",NA,"json-against-humanity/src/Base","Republicans.","Republicans.",FALSE
"White",NA,"json-against-humanity/src/Base","Guys who don't call.","Guys who don't call.",FALSE
"Black","I never truly understood _ until I encountered _.","json-against-humanity/src/Base",NA,"I never truly understood _ until I encountered _.",FALSE
"White",NA,"json-against-humanity/src/Base","Passive-aggressive Post-it notes.","Passive-aggressive Post-it notes.",FALSE
"White",NA,"json-against-humanity/src/Base","Bees?","Bees?",FALSE
"White",NA,"json-against-humanity/src/Base","The Dance of the Sugar Plum Fairy.","The Dance of the Sugar Plum Fairy.",FALSE
"White",NA,"json-against-humanity/src/Base","The Little Engine That Could.","The Little Engine That Could.",FALSE
"White",NA,"json-against-humanity/src/Base","Giving 110%.","Giving 110%.",FALSE
"White",NA,"json-against-humanity/src/Base","The Hustle.","The Hustle.",FALSE
"Black","Major League Baseball has banned _ for giving players an unfair advantage.","json-against-humanity/src/Base",NA,"Major League Baseball has banned _ for giving players an unfair advantage.",FALSE
"White",NA,"json-against-humanity/src/Base","Take-backsies.","Take-backsies.",FALSE
"White",NA,"json-against-humanity/src/Base","A balanced breakfast.","A balanced breakfast.",FALSE
"White",NA,"json-against-humanity/src/Base","My soul.","My soul.",FALSE
"White",NA,"json-against-humanity/src/Base","Yeast.","Yeast.",FALSE
"White",NA,"json-against-humanity/src/Base","Cheating in the Special Olympics.","Cheating in the Special Olympics.",FALSE
"White",NA,"json-against-humanity/src/Base","Breaking out into song and dance.","Breaking out into song and dance.",FALSE
"White",NA,"json-against-humanity/src/Base","Embryonic stem cells.","Embryonic stem cells.",FALSE
"White",NA,"json-against-humanity/src/Base","Hot cheese.","Hot cheese.",FALSE
"White",NA,"json-against-humanity/src/Base","RoboCop.","RoboCop.",FALSE
"White",NA,"json-against-humanity/src/Base","Women in yogurt commercials.","Women in yogurt commercials.",FALSE
"White",NA,"json-against-humanity/src/Base","Opposable thumbs.","Opposable thumbs.",FALSE
"White",NA,"json-against-humanity/src/Base","Goblins.","Goblins.",FALSE
"White",NA,"json-against-humanity/src/Base","An M. Night Shyamalan plot twist.","An M. Night Shyamalan plot twist.",FALSE
"White",NA,"json-against-humanity/src/Base","Saxophone solos.","Saxophone solos.",FALSE
"White",NA,"json-against-humanity/src/Base","Mr. Clean, right behind you.","Mr. Clean, right behind you.",FALSE
"White",NA,"json-against-humanity/src/Base","AXE Body Spray.","AXE Body Spray.",FALSE
"Black","What did Vin Diesel eat for dinner?","json-against-humanity/src/Base",NA,"What did Vin Diesel eat for dinner?",FALSE
"Black","I do not know with which weapons World War III will be fought, but World War IV will be fought with _.","json-against-humanity/src/Base",NA,"I do not know with which weapons World War III will be fought, but World War IV will be fought with _.",FALSE
"White",NA,"json-against-humanity/src/Base","Parting the Red Sea.","Parting the Red Sea.",FALSE
"White",NA,"json-against-humanity/src/Base","Skeletor.","Skeletor.",FALSE
