"Label","prompt"
"Black","Don't worry kid. It gets better. I've been living with _ for 20 years."
"Black","My grandfather worked his way up from nothing. When he came to this country, all he had was the shoes on his feet and _."
"Black","Behind every powerful man is _."
"Black","You are not alone. Millions of Americans struggle with _ every day."
"Black","""This is madness."" ""No, THIS IS _!"""
"Black","Listen Gary, I like you. But if you want that corner office, you're going to have to show me _."
"Black","I went to the desert and ate of the peyote cactus. Turns out my spirit animal is _."
"Black","And would you like those buffalo wings mild, hot, or _?"
"Black","The six things I could never do without: oxygen, Facebook, chocolate, Netflix, friends, and _ LOL!"
"Black","I'm Miss Tennessee, and if I could make the world better by changing one thing, I would get rid of _."
"Black","Everybody join hands and close your eyes. Do you sense that? That's the presence of _ in this room."
"Black","To become a true Yanomamo warrior, you must prove that you can withstand _ without crying out."
"Black","Y'all ready to get this thing started? I'm Nick Cannon, and this is America's Got _."
"Black","If you had to describe the Card Czar, using only one of the cards in your hand, which one would it be?"
"Black","Why You Miss those Casual _ So Much "
"Black","Can you report on the effect of _ on _ at the 3 PM meeting?"
"Black","Get the _ you need to solve your toughest work problems with these immersive sets of _ from Harvard Business School."
"Black","How can you expand your _ into new markets without undermining your _?"
"Black","_: How can companies begin to work with this _ technology?"
"Black","How can you achieve _ as the leader of a team that is scattered across the globe?"
"Black","Creating a Culture of _: Good _ aren't enough. You need a total change in attitude."
"Black","When _ creates competitive advantages and when it doesn't."
"Black","The _-Powered Organization: The main challenge isn't technology. It's _."
"Black","The Age of Continuous _: When you can interact with your customers 24/7, you need new _."
"Black","The Chief _ Officer is the epitome of leadership. Yet surprisingly little is known about this unique role."
"Black","""It will be a big footprint in our marketing"": _ is pouring money into _."
"Black","How Google is adapting its _ strategy"
"Black","_ is running its first Superbowl commercial as _ is having a moment"
"Black","When Losing Your _ Feels Like Losing Your Self"
"Black","Another Workplace Crisis: _"
"Black","Why _ Is a C-Suite Issue"
"Black","Research: _ Rising Faster for Women and People of Color"
"Black","Why Every Organization Needs _ Strategy"
"Black","Could Your _ Derail Your Career?"
"Black","Making _ Mobile and Connected: An Interview with Jeff Bezos "
"Black","10 Trends for the Board of 2020: The Future of _"
"Black","8 Reasons that _ Will Change Management "
"Black","Starbucks CEO Kevin Johnson on Work, Joy, and, Yes, _"
"Black","How Spotify Balances Employee Accountability and _"
"Black","Legal alternative to _? Spotify: The Challenges of an Online Music Service"
"Black","HBR _: A weekly podcast featuring the leading thinkers in _"
"Black","What is Strategy?"
"Black","What Happened at Enron?"
"Black","Harvard Business Review readers have power, influence, and _"
"Black","How _ is accelerating _"
"Black","News publishers tap into live streaming _ on YouTube"
"Black","Guide: Leveraging _ for authentic brand messaging"
"Black","Marketers are in a recession? Now what?"
"Black","YouTube's latest brand suitability targeting updates could cost content creators _"
"Black","How Google is trying to woo _ away from Amazon"
"Black","What would I do if I weren't afraid?"
"Black","Facebook COO Sheryl Sandberg: ""In the future, there will be no_. There will just be _."""
"Black","As a result of the pilot pulse survey, John has convened a new _ task force"
"Black","What's driving people to the site?"
"Black","Who is your primary customer?"
"Black","How are you generating creative tension?"
"Black","What strategic uncertainties keep you awake at night?"
"Black","The crisis prompted the new CEO to make a tough decision: ""The new boss at McDonald's is _,"" they announced."
"Black","Bill Gates on how to fight future pandemics: ""_""'"
"Black","What part of your shelter-in-place residence have you come to appreciate the most?"
"Black","What's giving you hope right now?"
"Black","Do we want our leaders to stay strong in a crisis, or do we want _?"
"Black","Much of of an executives workday is spent asking others for _."
"Black","_ is a uniquely powerful tool for unlocking value in organizations."
"Black","""Be _,""  Dale Carnegie advised in his 1936 classic How to Win Friends and Influence People."
"Black","Albert Einstein: ""If I were given one hour to save the planet, I would spend 59 minutes defining the problem and one minute _."""
"Black","You're out of free _ for this month. Sign in or create a new account for more."
"Black","I agree to receive _ from HBR. I may unsubscribe at any time."
"Black","I'm a subscriber. Why can't I access subscriber only content?"
"Black","What's included in each of the subscription tiers?"
"Black","How do I access the HBR mobile app?"
"Black","Miro lands $50M Series B for _ as demand surges"
"Black","Facebook pulls ""_"" from its list of targeted ad categories"
