"Label","response"
"White","A middle-aged man on roller skates."
"White","A wholly-owned nonprofit subsidiary of the Harvard Business School."
"White","Speaking at TechCrunch Disrupt."
"White","A 30-minute subscription to the New York Times."
"White","A lifetime subscription to the Economist."
"White","A Theranos IPO."
"White","Unsubscribing to an email newsletter."
"White","Micro-podcasts."
"White","A $1.2 billion fine for GDPR violations."
"White","Conducting an entire video meeting on mute."
"White","White collar crimes."
"White","A college admission bribery scandal."
"White","Attribution modeling."
"White","A 42% bounce rate."
"White","A 3% conversion rate."
"White","Cookies."
"White","Tableau."
"White","Spotify."
"White","Jira."
"White","Motivating employees."
"White","Adobe."
"White","Agile accounting practices."
"White","Subscribing to an email newsletter."
"White","Managing older workers."
"White","Personal rebranding."
"White","Statistical significance."
"White","Disruption."
"White","A shocking lack of demand."
"White","Teamwork."
"White","AR dashboards."
"White","A best-in-class goat video conferencing platform."
"White","The greatest retail expansion in the history of the world"
"White","Franchising."
"White","Profound implications."
"White","Artificial emotional intelligence."
"White","Emotional intelligence."
"White","Artificial intelligence."
"White","Pinching and scrolling."
"White","12 gigabytes of quarterly e-books."
"White","Lifetime customer value."
"White","Millennials."
"White","CarPlay-equipped radios for vintage Porsches."
"White","A fintech startup."
"White","The heir to the Hot Pockets fortune."
"White","Hundreds of thousands of pieces of misinformation related to COVID-19."
"White","A German research institute."
"White","Revamping the user interface."
"White","Elon Musk."
"White","A food delivery startup."
"White","Medical plans for pets."
"White","5G conspiracy theorists."
"White","Blockchain for Uber."
"White","Uber for blockchain."
"White","Clearing your cookies."
"White","Face to face interactions."
"White","Cubicles."
"White","Sparking joy."
