"Label","prompt"
"Black","The crisis prompted the new CEO to make a tough decision: ""The new boss at McDonald's is _,"" they announced."
"Black","Bill Gates on how to fight future pandemics: ""_""'"
"Black","What part of your shelter-in-place residence have you come to appreciate the most?"
"Black","What's giving you hope right now?"
"Black","Do we want our leaders to stay strong in a crisis, or do we want _?"
"Black","Much of of an executives workday is spent asking others for _."
"Black","_ is a uniquely powerful tool for unlocking value in organizations."
"Black","""Be _,""  Dale Carnegie advised in his 1936 classic How to Win Friends and Influence People."
"Black","Albert Einstein: ""If I were given one hour to save the planet, I would spend 59 minutes defining the problem and one minute _."""
"Black","You're out of free _ for this month. Sign in or create a new account for more."
"Black","I agree to receive _ from HBR. I may unsubscribe at any time."
"Black","I'm a subscriber. Why can't I access subscriber only content?"
"Black","What's included in each of the subscription tiers?"
"Black","How do I access the HBR mobile app?"
"Black","Miro lands $50M Series B for _ as demand surges"
"Black","Facebook pulls ""_"" from its list of targeted ad categories"
